time	open	high	low	close	tick_volume	spread	real_volume	short_ma	long_ma	signal
2021-12-15 20:00:00	1765.67	1780.85	1752.34	1777.09	30869	5	0	1772.5669999999998	1780.6078	-1
2021-12-16 00:00:00	1778.34	1782.73	1775.54	1782.67	9967	5	0	1772.4569999999999	1780.65	-1
2021-12-16 04:00:00	1782.67	1784.3	1781.01	1783.64	9519	5	0	1773.592	1780.6452000000002	-1
2021-12-16 08:00:00	1783.63	1787.07	1783.5	1785.59	14980	5	0	1774.8940000000002	1780.634	-1
2021-12-16 12:00:00	1785.53	1790.04	1782.21	1789.07	23037	5	0	1776.743	1780.7475999999997	-1
2021-12-16 16:00:00	1789.07	1798.98	1787.0	1797.28	30872	5	0	1779.1969999999997	1781.0975999999998	-1
2021-12-16 20:00:00	1797.29	1799.55	1794.97	1799.02	10747	5	0	1782.164	1781.4979999999998	1
2021-12-17 00:00:00	1798.39	1802.74	1797.27	1802.33	6957	5	0	1785.44	1781.9260000000002	1
2021-12-17 04:00:00	1802.33	1805.44	1801.46	1805.06	12022	5	0	1788.744	1782.4598	1
2021-12-17 08:00:00	1805.04	1809.89	1804.73	1806.73	14766	5	0	1792.848	1783.0134	1
2021-12-17 12:00:00	1806.74	1814.28	1804.69	1806.84	18930	5	0	1795.8229999999999	1783.5296000000003	1
2021-12-17 16:00:00	1806.83	1809.73	1802.32	1804.86	25968	5	0	1798.042	1784.0016	1
2021-12-17 20:00:00	1804.85	1804.98	1795.94	1797.98	12200	5	0	1799.4759999999999	1784.4548000000002	1
2021-12-20 00:00:00	1800.31	1802.5	1799.02	1801.11	9355	5	0	1801.0279999999998	1784.815	1
2021-12-20 04:00:00	1801.1	1803.77	1800.27	1802.95	10512	5	0	1802.416	1785.1907999999999	1
2021-12-20 08:00:00	1802.95	1804.21	1797.43	1799.74	17934	5	0	1802.6619999999998	1785.4498	1
2021-12-20 12:00:00	1799.73	1800.24	1794.21	1796.35	17771	5	0	1802.3949999999998	1785.5603999999998	1
2021-12-20 16:00:00	1796.35	1798.2	1791.74	1794.84	29071	5	0	1801.646	1785.6631999999997	1
2021-12-20 20:00:00	1794.83	1795.34	1788.29	1790.3	12849	5	0	1800.17	1785.8029999999999	1
2021-12-21 00:00:00	1790.8	1792.41	1789.34	1790.2	7624	5	0	1798.5169999999998	1785.9191999999998	1
2021-12-21 04:00:00	1790.2	1793.51	1789.68	1792.7	8429	5	0	1797.1029999999998	1786.1234	1
2021-12-21 08:00:00	1792.67	1798.27	1788.92	1797.98	16697	5	0	1796.4149999999997	1786.3938	1
2021-12-21 12:00:00	1797.99	1800.52	1795.52	1798.02	15887	5	0	1796.4189999999999	1786.6398000000002	1
2021-12-21 16:00:00	1797.92	1798.4	1785.0	1787.52	24122	5	0	1795.0600000000002	1786.7315999999998	1
2021-12-21 20:00:00	1787.66	1789.7	1786.69	1788.63	9314	5	0	1793.628	1786.951	1
2021-12-22 00:00:00	1788.87	1791.16	1788.34	1789.54	6496	5	0	1792.6080000000002	1787.201	1
2021-12-22 04:00:00	1789.64	1790.63	1787.36	1787.65	7682	5	0	1791.738	1787.4514000000001	1
2021-12-22 08:00:00	1787.64	1789.83	1785.86	1788.44	11530	5	0	1791.098	1787.6524	1
2021-12-22 12:00:00	1788.44	1794.7	1788.39	1794.57	14762	5	0	1791.525	1788.0013999999999	1
2021-12-22 16:00:00	1794.5	1799.86	1788.82	1799.5	22265	5	0	1792.455	1788.5741999999998	1
2021-12-22 20:00:00	1799.58	1804.92	1799.18	1803.54	10003	5	0	1793.539	1788.9605999999999	1
2021-12-23 00:00:00	1803.13	1807.24	1802.96	1807.08	6023	8	0	1794.4489999999998	1789.4322	1
2021-12-23 04:00:00	1807.12	1808.46	1804.96	1806.16	8036	5	0	1795.2630000000001	1789.899	1
2021-12-23 08:00:00	1806.23	1808.03	1804.79	1807.05	10093	5	0	1797.216	1790.3044	1
2021-12-23 12:00:00	1807.05	1810.03	1803.33	1807.32	14332	5	0	1799.0849999999998	1790.7534	1
2021-12-23 16:00:00	1807.3	1808.98	1798.9	1808.34	21775	5	0	1800.9650000000001	1791.2112	1
2021-12-23 20:00:00	1808.41	1810.63	1807.16	1807.76	6373	5	0	1802.976	1791.7025999999998	1
2021-12-27 00:00:00	1805.97	1811.79	1805.97	1810.8	7086	8	0	1805.212	1792.1516000000001	1
2021-12-27 04:00:00	1810.79	1811.3	1808.56	1809.6	8330	5	0	1806.7150000000001	1792.6038	1
2021-12-27 08:00:00	1809.62	1810.21	1805.08	1806.46	9565	5	0	1807.411	1792.9653999999998	1
